,REF_DATE,GEO,Age group,Sex,Income source,Statistics,VALUE
13,2022,Newfoundland and Labrador,15 years and over,Both sexes,Total income,Average income (excluding zeros),51100
14,2022,Newfoundland and Labrador,15 years and over,Both sexes,Total income,Median income (excluding zeros),39100
18,2022,Prince Edward Island,15 years and over,Both sexes,Total income,Average income (excluding zeros),48400
19,2022,Prince Edward Island,15 years and over,Both sexes,Total income,Median income (excluding zeros),40900
23,2022,Nova Scotia,15 years and over,Both sexes,Total income,Average income (excluding zeros),48800
24,2022,Nova Scotia,15 years and over,Both sexes,Total income,Median income (excluding zeros),38700
28,2022,New Brunswick,15 years and over,Both sexes,Total income,Average income (excluding zeros),48200
29,2022,New Brunswick,15 years and over,Both sexes,Total income,Median income (excluding zeros),40100
33,2022,Quebec,15 years and over,Both sexes,Total income,Average income (excluding zeros),54700
34,2022,Quebec,15 years and over,Both sexes,Total income,Median income (excluding zeros),43900
38,2022,Ontario,15 years and over,Both sexes,Total income,Average income (excluding zeros),58700
39,2022,Ontario,15 years and over,Both sexes,Total income,Median income (excluding zeros),42700
48,2022,Manitoba,15 years and over,Both sexes,Total income,Average income (excluding zeros),50700
49,2022,Manitoba,15 years and over,Both sexes,Total income,Median income (excluding zeros),41100
53,2022,Saskatchewan,15 years and over,Both sexes,Total income,Average income (excluding zeros),55700
54,2022,Saskatchewan,15 years and over,Both sexes,Total income,Median income (excluding zeros),43900
58,2022,Alberta,15 years and over,Both sexes,Total income,Average income (excluding zeros),61500
59,2022,Alberta,15 years and over,Both sexes,Total income,Median income (excluding zeros),45200
63,2022,British Columbia,15 years and over,Both sexes,Total income,Average income (excluding zeros),58300
64,2022,British Columbia,15 years and over,Both sexes,Total income,Median income (excluding zeros),43900
